"","x"
"215",2
"216",1
"217",3
"218",1
"219",2
"220",1
"221",3
"222",1
"223",2
"224",1
"225",3
"226",1
"227",2
"228",1
"229",2
"230",1
"231",1
"232",2
"233",1
"234",3
"235",1
"236",2
"237",1
"238",3
"239",1
"240",2
"241",1
"242",3
"243",1
"244",2
"245",1
"246",3
"247",1
"248",2
"249",1
"250",3
"251",1
"252",2
"253",1
"254",3
"255",1
"256",1
"257",2
"258",1
"259",3
"260",1
"261",2
"262",1
"263",3
"264",1
"265",2
"266",1
"267",3
"268",1
"269",2
"270",1
"271",3
"272",1
"273",2
"274",1
"275",3
"276",1
"277",2
"278",1
"279",3
"280",1
"281",2
"282",1
"283",3
"284",1
"285",2
"286",1
"287",3
"288",1
"289",2
"290",1
"291",3
"292",1
"293",2
"294",1
"295",3
"296",1
"297",2
"298",1
"299",3
"300",1
"301",2
"302",1
"303",3
"304",1
"305",2
"306",1
"307",3
"308",1
"309",2
"310",1
"311",3
"312",1
"313",2
"314",1
"315",3
"316",1
"317",2
"318",1
"319",3
"320",1
"321",2
"322",1
"323",3
"324",1
"325",2
"326",1
"327",3
"328",1
"329",2
"330",1
"331",2
"332",1
"333",3
"334",1
"335",2
"336",1
"337",3
"338",1
"339",2
"340",1
"341",3
"342",1
"343",2
"344",1
"345",3
"346",1
"347",2
"348",1
"349",3
"350",1
"351",2
"352",1
"353",3
"354",1
"355",2
"356",1
"357",3
"358",1
"359",2
"360",1
"361",3
"362",1
"363",2
"364",1
"365",3
"366",1
"367",2
"368",1
"369",1
"370",3
"371",1
"372",1
"373",2
"374",1
"375",2
"376",1
"377",3
"378",1
"379",2
"380",1
"381",3
"382",1
"383",2
"384",1
"385",3
"386",1
"387",2
"388",1
"389",3
"390",1
"391",2
"392",1
"393",3
"394",1
"395",2
"396",1
"397",3
"398",1
"399",2
"400",1
"401",3
"402",1
"403",2
"404",1
"405",3
"406",1
"407",2
"408",1
"409",3
"410",1
"411",2
"412",1
"413",3
"414",1
"415",2
"416",1
"417",3
"418",1
"419",2
"420",1
"421",3
"422",1
"423",2
"424",1
"425",3
"426",1
"427",2
"428",1
"429",3
"430",1
"431",2
"432",1
"433",3
"434",1
"435",2
"436",1
"437",2
"438",1
"439",3
"440",1
"441",2
"442",1
"443",3
"444",1
"445",2
"446",1
"447",3
"448",1
"449",3
"450",1
"451",2
"452",1
"453",3
"454",1
"455",2
"456",3
"457",1
"458",3
"459",1
"460",2
"461",1
"462",3
"463",1
"464",2
"465",1
"466",3
"467",1
"468",2
"469",1
"470",3
"471",1
"472",1
"473",2
"474",1
"475",3
"476",1
"477",2
"478",1
"479",3
"480",1
"481",2
"482",1
"483",3
"484",1
"485",2
"486",1
"487",3
"488",1
"489",2
"490",1
"491",2
"492",1
"493",3
"494",1
"495",2
"496",1
"497",3
"498",1
"499",2
"500",1
"501",3
"502",1
"503",2
"504",3
"505",1
"506",2
"507",1
"508",3
"509",1
"510",2
"511",1
"512",3
"513",1
"514",2
"515",1
"516",3
"517",1
"518",2
"519",1
"520",3
"521",1
"522",2
"523",1
"524",3
"525",1
"526",2
"527",1
"528",3
"529",1
"530",2
"531",1
"532",3
"533",1
"534",2
"535",1
"536",2
"537",1
"538",3
"539",1
"540",2
"541",1
"542",3
"543",1
"544",2
"545",1
"546",3
"547",1
"548",2
"549",1
"550",3
"551",1
"552",2
"553",1
"554",3
"555",1
"556",2
"557",1
"558",3
"559",1
"560",2
"561",1
"562",3
"563",1
"564",2
"565",1
"566",3
"567",1
"568",2
"569",1
"570",3
"571",1
"572",2
"573",1
"574",3
"575",1
"576",2
"577",1
"578",3
"579",1
"580",2
"581",1
"582",3
"583",1
"584",2
"585",1
"586",3
"587",1
"588",2
"589",1
"590",3
"591",1
"592",2
"593",1
"594",3
"595",1
"596",2
"597",1
"598",3
"599",1
"600",2
"601",1
"602",3
"603",1
"604",2
"605",1
"606",3
"607",1
"608",2
"609",1
"610",3
"611",1
"612",2
"613",1
"614",3
"615",1
"616",2
"617",1
"618",3
"619",1
"620",2
"621",1
"622",3
"623",1
"624",2
"625",1
"626",3
"627",1
"628",2
"629",1
"630",3
"631",1
"632",2
"633",1
"634",3
"635",1
"636",2
"637",1
"638",3
"639",1
"640",2
"641",1
"642",3
"643",1
"644",2
"645",1
"646",3
"647",1
"648",2
"649",1
"650",3
"651",1
"652",2
"653",1
"654",3
"655",1
"656",2
"657",1
"658",3
"659",1
"660",2
"661",1
"662",3
"663",1
"664",2
"665",1
"666",3
"667",1
"668",2
"669",1
"670",3
"671",1
"672",2
"673",1
"674",3
"675",1
"676",2
"677",1
"678",3
"679",1
"680",2
"681",1
"682",3
"683",1
"684",2
"685",1
"686",3
"687",1
"688",2
"689",1
"690",3
"691",1
"692",2
"693",1
"694",3
"695",1
"696",2
"697",1
"698",3
"699",1
"700",2
"701",1
"702",3
"703",1
"704",2
"705",1
"706",3
"707",1
"708",2
"709",1
"710",3
"711",1
"712",2
"713",1
"714",3
"715",1
"716",2
"717",1
"718",3
"719",1
"720",2
"721",1
"722",3
"723",1
"724",2
"725",1
"726",3
"727",1
"728",2
"729",1
"730",2
"731",1
"732",3
"733",1
"734",2
"735",1
"736",3
"737",1
"738",2
"739",1
"740",3
"741",1
"742",2
"743",1
"744",3
"745",1
"746",2
"747",1
"748",3
"749",1
"750",2
"751",1
"752",3
"753",1
"754",2
"755",1
"756",3
"757",1
"758",2
"759",1
"760",3
"761",1
"762",2
"763",1
"764",3
"765",1
"766",2
"767",1
"768",3
"769",1
"770",2
"771",1
"772",3
"773",1
"774",2
"775",1
"776",3
"777",1
"778",2
"779",1
"780",3
"781",1
"782",2
"783",1
"784",3
"785",1
"786",2
"787",1
"788",2
"789",1
"790",3
"791",1
"792",2
"793",1
"794",3
"795",1
"796",2
"797",1
"798",3
"799",1
"800",2
"801",1
"802",3
"803",1
"804",2
"805",1
"806",3
"807",1
"808",2
"809",1
"810",3
"811",1
"812",2
"813",1
"814",3
"815",1
"816",2
"817",1
"818",3
"819",1
"820",2
"821",1
"822",3
"823",1
"824",2
"825",1
"826",3
"827",1
"828",2
"829",1
"830",3
"831",1
"832",2
"833",1
"834",3
"835",1
"836",2
"837",1
"838",3
"839",1
"840",2
"841",1
"842",3
"843",1
"844",2
"845",1
"846",3
"847",1
"848",2
"849",1
"850",3
"851",1
"852",2
"853",1
"854",3
"855",1
"856",2
"857",1
"858",3
"859",1
"860",2
"861",1
"862",3
"863",1
"864",2
"865",1
"866",3
"867",1
"868",2
"869",1
"870",3
"871",1
"872",2
"873",1
"874",3
"875",1
"876",2
"877",1
"878",3
"879",1
"880",2
"881",1
"882",3
"883",1
"884",2
"885",1
"886",3
"887",1
"888",2
"889",1
"890",2
"891",1
"892",3
"893",1
"894",2
"895",1
"896",3
"897",1
"898",2
"899",1
"900",3
"901",1
"902",2
"903",1
"904",3
"905",1
"906",2
"907",1
"908",3
"909",1
"910",2
"911",1
"912",3
"913",1
"914",2
"915",1
"916",3
"917",1
"918",2
"919",1
"920",3
"921",1
"922",2
"923",1
"924",3
"925",1
"926",2
"927",1
"928",3
"929",1
"930",2
"931",1
"932",3
"933",1
"934",2
"935",1
"936",3
"937",1
"938",2
"939",1
"940",3
"941",1
"942",2
"943",1
"944",3
"945",1
"946",2
"947",1
"948",3
"949",1
"950",2
"951",1
"952",3
"953",1
"954",2
"955",1
"956",3
"957",1
"958",2
"959",1
"960",3
"961",1
"962",2
"963",1
"964",2
"965",1
"966",3
"967",1
"968",2
"969",1
"970",3
"971",1
"972",2
"973",1
"974",3
"975",1
"976",3
"977",1
"978",2
"979",1
"980",1
"981",2
"982",1
"983",3
"984",1
"985",2
"986",1
"987",2
"988",1
"989",3
"990",1
"991",2
"992",1
"993",3
"994",1
"995",2
"996",1
"997",1
"998",3
"999",1
"1000",2
"1001",1
"1002",3
"1003",1
"1004",2
"1005",1
"1006",3
"1007",1
"1008",2
"1009",1
"1010",3
"1011",1
"1012",2
"1013",1
"1014",1
"1015",3
"1016",1
"1017",2
"1018",1
"1019",3
"1020",1
"1021",2
"1022",1
"1023",3
"1024",1
"1025",2
"1026",1
"1027",3
"1028",1
"1029",2
"1030",1
"1031",1
"1032",2
"1033",1
"1034",3
"1035",1
"1036",2
"1037",1
"1038",3
"1039",1
"1040",2
"1041",1
"1042",3
"1043",1
"1044",2
"1045",1
"1046",2
"1047",1
"1048",3
"1049",1
"1050",2
"1051",1
"1052",3
"1053",1
"1054",2
"1055",1
"1056",3
"1057",1
"1058",2
"1059",1
"1060",3
"1061",1
"1062",2
"1063",1
"1064",2
"1065",1
"1066",3
"1067",1
"1068",2
"1069",1
"1070",1
"1071",2
"1072",1
"1073",3
"1074",1
"1075",1
"1076",2
"1077",1
"1078",1
"1079",2
"1080",1
"1081",1
"1082",3
"1083",2
"1084",1
"1085",1
"1086",2
"1087",1
"1088",1
"1089",3
"1090",1
"1091",2
"1092",1
"1093",2
"1094",1
"1095",3
"1096",1
"1097",2
"1098",1
"1099",3
"1100",1
"1101",2
"1102",1
"1103",3
"1104",1
"1105",2
"1106",1
"1107",3
"1108",1
"1109",2
"1110",1
"1111",2
"1112",1
"1113",3
"1114",1
"1115",2
"1116",1
"1117",3
"1118",1
"1119",2
"1120",1
"1121",1
"1122",2
"1123",1
"1124",3
"1125",1
"1126",2
"1127",1
"1128",3
"1129",1
"1130",2
"1131",1
"1132",2
"1133",1
"1134",3
"1135",1
"1136",2
"1137",1
"1138",3
"1139",1
"1140",2
"1141",1
"1142",3
"1143",1
"1144",2
"1145",1
"1146",1
"1147",2
"1148",1
"1149",3
"1150",1
"1151",1
"1152",2
"1153",1
"1154",3
"1155",1
"1156",2
"1157",1
"1158",3
"1159",1
"1160",2
"1161",1
"1162",1
"1163",3
"1164",1
"1165",2
"1166",1
"1167",1
"1168",2
"1169",1
"1170",1
"1171",2
"1172",1
"1173",1
"1174",2
"1175",1
"1176",1
"1177",2
"1178",1
"1179",1
"1180",2
"1181",1
"1182",1
"1183",1
"1184",2
"1185",1
"1186",3
"1187",1
"1188",2
"1189",1
"1190",1
"1191",2
"1192",1
"1193",1
"1194",2
"1195",1
"1196",3
"1197",1
"1198",2
"1199",1
"1200",3
"1201",1
"1202",2
"1203",1
"1204",1
"1205",2
"1206",1
"1207",1
"1208",2
"1209",1
"1210",3
"1211",1
"1212",2
"1213",1
"1214",3
"1215",1
"1216",2
"1217",1
"1218",2
"1219",1
"1220",1
"1221",3
"1222",1
"1223",2
"1224",1
"1225",2
"1226",1
"1227",2
"1228",1
"1229",1
"1230",2
"1231",1
"1232",3
"1233",1
"1234",2
"1235",1
"1236",2
"1237",1
"1238",2
"1239",1
"1240",1
"1241",2
"1242",3
"1243",1
"1244",1
"1245",2
"1246",1
"1247",3
"1248",1
"1249",2
"1250",1
"1251",1
"1252",2
"1253",1
"1254",3
"1255",1
"1256",2
"1257",1
"1258",1
"1259",2
"1260",1
"1261",3
"1262",1
"1263",2
"1264",1
"1265",2
"1266",1
"1267",1
"1268",1
"1269",2
"1270",1
"1271",1
"1272",2
"1273",1
"1274",3
"1275",1
"1276",2
"1277",1
"1278",2
"1279",1
"1280",3
"1281",1
"1282",2
"1283",1
"1284",2
"1285",1
"1286",3
"1287",1
"1288",2
"1289",1
"1290",1
"1291",2
"1292",1
"1293",1
"1294",1
"1295",1
"1296",2
"1297",1
"1298",1
"1299",2
"1300",1
"1301",1
"1302",2
"1303",1
"1304",1
"1305",2
"1306",1
"1307",1
"1308",2
"1309",1
"1310",1
"1311",2
"1312",1
"1313",1
"1314",2
"1315",1
"1316",1
"1317",2
"1318",1
"1319",1
"1320",2
"1321",1
"1322",1
"1323",1
"1324",2
"1325",1
"1326",1
"1327",2
